customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6652-KPVGM,Male,1,Yes,Yes,2,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.1,44.6,Yes
9571-VTHZQ,Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),128.22,4742.6,No
6004-VYKKR,Male,0,Yes,Yes,43,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),88.33,3448.41,No
9490-JMDPT,Male,1,Yes,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.47,566.26,No
5220-GEQYH,Male,1,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,106.31,7829.03,No
5960-RNDEA,Male,1,No,Yes,5,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),75.06,366.5,No
2984-RTYSL,Male,0,No,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.51,1816.04,No
4887-DBRTI,Female,0,No,Yes,7,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,82.12,577.13,No
5285-CHGNC,Female,0,No,No,43,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,17.56,753.59,No
2329-TCCGV,Female,0,No,No,53,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),88.61,4250.71,No
3127-BHPMG,Male,1,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.84,1159.67,Yes
7762-ZELYB,Male,1,Yes,Yes,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.56,993.13,No
2289-RCHBV,Male,1,Yes,No,58,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,114.33,5986.81,No
9568-QPJQU,Female,0,Yes,Yes,13,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),123.2,1498.27,No
1062-DYUFW,Male,1,Yes,Yes,18,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,60.82,1121.65,No
4208-LLVUM,Male,0,No,Yes,30,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.66,2722.38,No
9632-DREBK,Male,0,No,No,47,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,110.1,5636.6,No
6383-RZCBM,Female,1,No,No,5,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,96.92,438.32,No
8955-KRCYC,Female,0,No,Yes,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.45,1265.91,Yes
4648-MZBCC,Male,1,Yes,Yes,23,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),114.27,2513.13,No
9872-RSEHH,Male,0,No,No,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.27,323.15,No
6411-GODVO,Female,1,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.42,1820.04,Yes
8104-GZDDS,Female,0,No,Yes,45,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.8,912.6,No
1618-CZNZU,Female,0,No,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),17.74,939.51,Yes
8071-SCOYO,Male,0,Yes,Yes,48,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,59.4,2657.84,No
8155-JQQJE,Female,0,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.58,517.35,No
6044-SJQOS,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),107.55,1964.72,No
3004-QTKBJ,Male,1,No,Yes,14,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),94.68,1302.99,No
9025-MHMGN,Female,1,Yes,Yes,30,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.64,2099.93,No
9097-UDTXF,Female,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),107.77,1166.91,No
7756-DPNZF,Male,1,No,No,36,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.79,721.21,No
7086-PBLIU,Male,1,Yes,Yes,61,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),65.79,3725.29,No
5906-BMYMW,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),15.08,701.8,No
3042-UDPMP,Female,1,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,114.25,3364.53,No
6601-IOVGD,Female,1,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.13,461.36,Yes
7685-MHYBC,Female,1,No,Yes,59,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,111.34,6743.95,No
7269-YNSZL,Female,1,No,No,33,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),81.06,2803.95,No
5207-MLXWF,Male,1,No,No,53,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,85.37,4883.97,No
3445-VCVVD,Female,0,Yes,Yes,6,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),77.58,441.57,Yes
1402-DKZEA,Female,0,Yes,No,33,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,108.14,3391.82,No
3197-FRTSK,Male,1,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.1,283.8,No
2446-MPTPU,Male,0,Yes,Yes,56,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,96.44,5278.93,No
5889-OLYGN,Male,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.98,933.04,No
6573-MYYZZ,Female,0,Yes,No,59,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.21,1551.27,No
2334-LAUJV,Female,1,Yes,No,23,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,101.71,2418.83,No
1577-QECJH,Male,1,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),15.7,103.67,No
3190-OKDDW,Male,0,Yes,No,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,103.89,410.73,No
2318-FYMZH,Female,1,No,No,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.23,370.0,No
8602-BJPLC,Female,1,No,Yes,59,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),104.82,6089.5,No
4272-PDEZR,Male,0,No,No,29,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.65,2523.04,No
5495-PFIMX,Female,1,No,No,5,Yes,No phone service,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,58.69,304.92,No
5684-KTQKG,Female,1,No,No,15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),88.34,1374.82,No
9166-NGLER,Male,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.23,874.51,Yes
8575-HMCXG,Female,1,Yes,Yes,71,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.72,1322.09,Yes
8695-YROGR,Male,0,No,No,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,99.56,5404.99,No
4879-VNWQV,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.05,180.56,Yes
6335-CVZSZ,Male,1,No,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,33.88,2262.61,No
2553-SZTIK,Male,1,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,17.79,251.54,No
4165-GUUNQ,Male,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.04,1075.71,No
1864-SKTLT,Male,0,No,No,20,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),15.86,305.68,Yes
3628-EDVCT,Male,1,No,Yes,47,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,79.29,4031.99,No
6348-FJYCX,Female,1,No,Yes,69,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,88.41,5791.38,No
6476-SPVGG,Male,0,Yes,Yes,56,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,68.18,3493.14,No
6860-AUPID,Female,1,No,Yes,32,Yes,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,63.11,2133.16,No
3491-VFNWU,Female,0,No,No,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),121.97,7820.05,No
4105-NYZVK,Male,1,Yes,Yes,34,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.71,3126.4,No
4128-SNOHJ,Male,0,No,No,40,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),74.01,2985.55,No
9453-VNDBB,Female,1,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),105.16,787.01,No
3728-DLQQS,Female,1,Yes,No,55,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),87.64,5268.85,No
7588-HURSI,Male,1,No,No,24,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),104.27,2605.74,No
1357-AFXPI,Male,0,Yes,Yes,60,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,85.92,4814.85,No
3166-VWSHX,Female,1,No,No,50,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),85.77,3973.35,No
5966-UOOUE,Female,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.68,1502.28,No
9258-TYDTD,Male,1,No,Yes,2,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,77.75,159.16,No
9107-KYYGA,Female,1,Yes,No,59,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),68.44,4030.18,Yes
5759-NSABK,Male,0,Yes,Yes,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),16.58,830.71,No
8345-TMGNE,Male,1,Yes,No,66,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),101.67,6262.74,No
6651-IYGWQ,Female,0,Yes,Yes,14,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),91.9,1353.02,No
8245-VQPUI,Female,0,Yes,Yes,35,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,99.68,3709.68,No
7554-ICDMF,Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,105.35,3151.27,No
1755-NWBRT,Female,1,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.15,892.7,No
5632-IAXMX,Male,1,Yes,Yes,8,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),69.68,606.68,No
4787-YSACI,Male,1,Yes,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.34,823.77,No
8166-DJHUA,Male,1,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.18,115.18,Yes
2894-MVDDN,Female,0,Yes,No,53,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),93.59,5065.66,No
2487-MLNMT,Female,0,Yes,Yes,15,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),85.88,1236.54,No
2690-FRVRR,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,105.63,1909.85,No
9079-FKVKX,Female,0,No,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.15,756.69,No
7607-SYGSF,Male,1,No,No,51,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),87.53,4733.36,No
9176-TNGNY,Female,0,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,17.1,1183.13,No
5479-GYRLP,Female,1,No,Yes,40,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),70.71,2614.09,No
4669-CDTNA,Male,1,Yes,No,69,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,92.93,6040.07,No
7840-SNWYN,Male,1,No,No,38,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.55,4489.63,No
3816-IQRTS,Male,1,Yes,No,70,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.81,7267.56,No
4632-UXVDK,Female,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.81,1071.11,No
2128-RDJWM,Female,1,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,102.66,5099.93,No
3192-TTSVF,Male,1,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.74,866.23,No
3036-LXCVY,Male,0,No,Yes,33,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,51.26,1746.54,No
7186-ZQGPC,Male,1,Yes,No,18,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),98.95,1840.83,No
1285-VGBPH,Female,1,Yes,No,16,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),72.43,1168.43,No
7214-NOENR,Female,1,No,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.87,733.89,No
1051-SURTB,Male,1,Yes,No,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),100.19,1256.65,No
3706-HRGYN,Female,1,Yes,No,27,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,106.19,2677.89,No
4249-QJBHL,Female,0,Yes,Yes,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.34,1504.3,No
3250-XXILL,Female,1,No,No,51,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,103.91,4961.53,No
8605-FEEEF,Male,1,Yes,Yes,32,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.14,3553.55,No
4257-YXJFZ,Female,0,No,Yes,54,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.08,4203.64,No
3677-TIVUL,Female,1,Yes,Yes,66,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,109.65,7547.24,No
4853-SCPGF,Male,0,No,No,39,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.46,3490.83,No
9226-RDZBH,Female,1,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,17.86,200.24,No
2825-AZMNK,Male,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.28,690.27,No
8760-UQZLX,Male,0,No,No,63,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),79.56,5009.89,No
6403-KXBMI,Female,1,No,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.2,1200.59,No
8448-IKXEF,Male,1,Yes,Yes,33,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),93.38,3061.25,Yes
1602-WRPWP,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),15.38,346.22,No
4816-TVYLY,Female,1,No,No,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),48.18,379.7,Yes
8193-RYTLY,Female,1,No,Yes,66,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,84.81,5301.0,No
4375-JBJQE,Female,1,No,Yes,53,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),76.14,4239.04,No
5564-GPRLM,Female,0,No,No,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,78.41,70.62,No
9862-THJUO,Male,1,Yes,No,63,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),124.1,7480.05,No
5578-XDKFO,Female,1,Yes,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.09,1241.84,Yes
3123-QLWXQ,Female,0,No,Yes,50,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,111.58,5168.76,No
1318-MDJAA,Male,0,Yes,Yes,46,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,106.3,4787.29,No
9597-RWEPY,Male,1,Yes,No,66,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,114.29,7225.68,No
1154-TFHEY,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.49,962.87,No
5965-LVEHM,Male,1,No,No,40,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.35,682.92,No
4418-ZSTYD,Female,1,Yes,Yes,44,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.68,3414.19,No
4260-NCYKB,Male,0,Yes,No,57,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,94.78,5158.55,No
1267-JUWYY,Female,1,No,Yes,24,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,106.21,2396.35,No
3086-UHGXI,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),16.46,405.72,No
2576-IRCJO,Male,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),71.84,1522.77,No
2576-XIHHC,Male,1,Yes,Yes,43,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.58,3851.73,No
2742-XHHIO,Female,1,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.94,1346.21,No
5727-NFWTN,Female,1,No,Yes,50,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),73.95,3410.62,No
5602-DJMSW,Female,0,Yes,Yes,3,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),68.02,191.34,Yes
4329-VYGLM,Female,1,Yes,Yes,11,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.7,1062.3,No
5863-FXWSD,Female,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.54,18.61,No
9279-ETELG,Male,1,No,Yes,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.64,1071.5,No
3014-ZZKVI,Male,1,No,No,54,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,100.4,5850.07,No
8534-QTWVI,Male,1,Yes,No,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.04,647.14,Yes
9407-DWNVO,Female,1,Yes,Yes,44,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),70.42,3286.78,No
3282-PZCRH,Female,0,No,No,70,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),82.08,5779.77,No
6019-YAIFX,Female,1,No,No,14,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),101.31,1455.44,No
7571-PRNOF,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.28,5444.22,No
3986-LVUKF,Male,1,Yes,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.83,1153.18,No
6252-RHPTD,Male,1,No,No,63,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),83.54,4771.17,No
1881-LXFDE,Female,0,Yes,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.86,47.93,No
4738-UXNAU,Male,0,No,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.78,774.8,No
1599-QDANP,Female,0,Yes,No,69,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,76.35,5101.18,No
3467-JRXLP,Male,1,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,17.4,138.26,No
3718-STPHL,Female,1,No,No,4,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.38,377.91,No
6862-NBMMQ,Male,0,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.46,901.24,No
8637-SUSTL,Female,1,No,Yes,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.9,3114.14,No
2063-JCQJJ,Female,1,No,No,47,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),81.0,3954.36,No
6751-ERDHX,Female,1,Yes,Yes,59,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),89.72,5264.11,No
7394-SRUDL,Female,0,Yes,No,62,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.28,4630.88,No
8650-IBGGH,Male,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.89,960.62,No
3887-OQCFP,Female,0,Yes,No,13,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,65.19,916.38,No
5194-QVPLP,Female,0,No,No,41,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.57,3215.53,No
7065-ULMCL,Male,1,No,Yes,10,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,97.24,1020.1,No
9784-HJMNN,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.81,817.67,No
6382-PBAHS,Female,1,Yes,No,5,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,113.29,587.04,No
6587-KNCCY,Male,1,No,Yes,48,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,85.3,4051.14,No
7234-JSNVV,Female,1,No,No,24,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),93.35,2234.56,No
4472-VCTQS,Male,1,No,Yes,40,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,85.79,3556.65,No
2781-BBCVO,Female,0,Yes,No,20,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),85.55,1851.23,No
8717-DWXUG,Female,1,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.56,605.49,Yes
7044-WKIWC,Male,1,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.64,1514.77,No
5837-DLFWE,Female,1,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.99,721.38,Yes
